RadID;"Lokalitet	";"PrøveID	";KontekstID;Kontekst-beskrivelse;"Lab.-nr.	";14C-BP.;Kalibrert alder (2 sigma);Delta 13C;Øst_UTM32_ETRS89;Nord_UTM32_ETRS89;
200;"Torvet 1	";"4689	";ST4681;Grav, kistebunn;"UBA-39393	";"372 ± 28	";"1451 – 1633 evt.	";"	";580279;6570691;Haugesten, Lars (2021). Torvet 1, Tønsberg. Arkeologisk undersøkelse i forbindelse med ulovlig graving for refundamentering, Tonsberg. NIKU 76/2018. Norsk institutt for kulturminneforskning (NIKU).
81;"Øvre Langgate 29	";"C14-081182:1	";;Ardspor;"T-5216A	";"1220 ± 140	";"572 – 1151 evt.	";"-27.4	";580422;6570594;Eriksson, Jan Erik (1990). De arkeologiske undersøkelsene i Storgaten 47, Tønsberg 1971.Tønsberg: Riksantikvaren.
82;"Øvre Langgate 29	";"C14-081182:2	";;Veggrenne;"T-5217A	";"1040 ± 140	";"684 – 1260 evt.	";"-28.0	";580426;6570597;Eriksson, Jan Erik (1990). De arkeologiske undersøkelsene i Storgaten 47, Tønsberg 1971.Tønsberg: Riksantikvaren.
66;"Øvre Langgate 57/59	";"TV1654	";K143;Stolpehull;"T-4894A	";"980 ± 130	";"774 – 1276 evt.	";"-24.6	";580310;6570739;Brendalsmo, Jan (1986). Peterskirken: dens kirkegård og det eldste Tønsberg. Tønsberg: Riksantikvaren.
67;"Øvre Langgate 57/59	";"TV3390	";K141;Ardspor;"T-4886A	";"920 ± 90	";"907 – 1277 evt.	";"-27.0	";580299;6570756;Brendalsmo, Jan (1986). Peterskirken: dens kirkegård og det eldste Tønsberg. Tønsberg: Riksantikvaren.
68;"Øvre Langgate 57/59	";"TV3392	";K126;Veggrenne;"T-4885A	";"1010 ± 90	";"775 – 1222 evt.	";"-27.7	";580298;6570756;Brendalsmo, Jan (1986). Peterskirken: dens kirkegård og det eldste Tønsberg. Tønsberg: Riksantikvaren.
69;"Øvre Langgate 57/59	";"TV3539	";K127;Stolpehull;"T-4887	";"710 ± 60	";"1220 – 1397 evt.	";"-26.5	";580298;6570756;Brendalsmo, Jan (1986). Peterskirken: dens kirkegård og det eldste Tønsberg. Tønsberg: Riksantikvaren.
85;"Øvre Langgate 57/59	";"TV1649	";L61;Kokegrop;"T-4888	";"2640 ± 60	";"930 – 563 fvt.	";"-26.1	";580298;6570753;Flodin, Lena, Peter Germer og Jan Lindh (1983). Rapport over de arkeologiske utgravningene i Dure Langgate 57/59, Tønsberg, 1982. Tønsberg: Riksantikvaren.
86;"Øvre Langgate 57/59	";"TV1651	";K124;Ardspor;"T-4890A	";"980 ± 80	";"892 – 1223 evt.	";"-26.6	";580295;6570756;Flodin, Lena, Peter Germer og Jan Lindh (1983). Rapport over de arkeologiske utgravningene i Dure Langgate 57/59, Tønsberg, 1982. Tønsberg: Riksantikvaren.
87;"Øvre Langgate 57/59	";"TV1655	";K143;Stolpehull;"T-4893A	";"880 ± 130	";"890 – 1389 evt.	";"-26.7	";580295;6570756;Flodin, Lena, Peter Germer og Jan Lindh (1983). Rapport over de arkeologiske utgravningene i Dure Langgate 57/59, Tønsberg, 1982. Tønsberg: Riksantikvaren.
88;"Øvre Langgate 57/59	";"TV3570	";K142;Veggrenne;"T-4889A	";"1010 ± 100	";"774 – 1228 evt.	";"-27.7	";580299;6570755;Flodin, Lena, Peter Germer og Jan Lindh (1983). Rapport over de arkeologiske utgravningene i Dure Langgate 57/59, Tønsberg, 1982. Tønsberg: Riksantikvaren.
