WKT,fid,sone,lokalitet,struktur_id,struktur_navn,funksjonskode,byverdi,bruksverdi,areal_m2,ET_1 (600–1100 evt.),ET_2 (1100–1200 evt.),ET_3 (1200–1300 evt.),ET_4 (1300–1400 evt.),ET_5 (1400–1500 evt.),ET_6 (1500–1537 evt.),utgravningsfase,utgravningsfase_fra (evt.),utgravningsfase_til (evt.),C14_samlet,C14_labid_1,C14_labid_2,C14_labid_3,C14_labid_4,utgravd_år,utgravd_av,utgravd_areal_m2,tbg_kode,niku_prosjektnummer,c_nr,kilde
"MULTIPOLYGON (((580040.199308244 6570774.63813585,580040.297742882 6570774.57780493,580039.040319763 6570772.96712847,580038.962165978 6570773.02814159,580040.199308244 6570774.63813585)))",2,NV,Anders Madsens Gate,L4,,14,Transport,Passasje,0.22,1,1,0,0,0,0,,993,1155,1075,FTMC-BE28-1,,,,"2023",NIKU,,,1022556,,"Haugesten, Lars. 2023. Forenklet rapport: Anders Madsens gate, vannlekkasje – hastesak. NIKU."
"MULTIPOLYGON (((580156.655343047 6570897.57105625,580156.09502365 6570898.19652906,580155.821379292 6570898.62654162,580155.287121263 6570899.61687358,580155.404397416 6570899.78627247,580155.717133824 6570899.73414972,580155.886532711 6570899.25201444,580156.446852109 6570898.41805068,580156.824741936 6570897.92288469,580156.889895353 6570897.64924034,580156.655343047 6570897.57105625)))",3,NØ,Anders Madsens Gate 1,SA24394,,32,Sivile konstruksjoner,Gjerde,0.97,1,0,0,0,0,0,"2",1100,1150,969,UBA-31480,,,,"2015",NIKU,,,1020517,C60179 ,NIKU Oppdragsrapport 1/2016
"MULTIPOLYGON (((580153.711836794 6570882.06873636,580151.034953396 6570876.36796616,580145.185467453 6570881.8704487,580149.10164872 6570886.13363337,580153.711836794 6570882.06873636)))",4,NØ,Anders Madsens Gate 1,"200505",Hus 3,31,Sivile konstruksjoner,Bygning,41.85,1,0,0,0,0,0,"2",1100,1150,1095,UBA-31471,,,,"2015",NIKU,,,1020517,C60179 ,NIKU Oppdragsrapport 1/2016
"MULTIPOLYGON (((580163.124748765 6570902.37077884,580162.594492972 6570900.84853659,580161.500053899 6570899.03587189,580158.216736682 6570901.12214636,580158.14833424 6570901.63516469,580157.772120807 6570902.04557934,580157.430108598 6570902.55859766,580156.882889061 6570902.83220741,580155.891053651 6570902.55859766,580155.412236557 6570902.04557934,580154.21519382 6570901.9771769,580153.257559631 6570903.20842085,580151.957913233 6570902.21658545,580153.599571842 6570899.68569509,580154.899218241 6570900.8485366,580154.557206032 6570901.53256102,580155.54904144 6570901.39575613,580156.985492724 6570900.71173172,580157.361706156 6570901.0195427,580157.772120807 6570900.95114027,580161.15804169 6570898.83066455,580161.089639247 6570898.38604869,580160.8502307 6570898.0782377,580159.242773312 6570898.04403648,580158.934962322 6570898.00983526,580159.276974533 6570897.83882915,580160.713425816 6570897.56521939,580160.063602616 6570896.26557299,580158.969163542 6570894.58971316,580157.703718365 6570891.71681058,580157.703718365 6570891.27219472,580157.430108598 6570891.03278616,580157.430108597 6570890.69077395,580156.917090282 6570890.17775563,580156.780285398 6570889.39112756,580153.394364517 6570891.61420693,580153.736376726 6570892.50343867,580153.599571842 6570893.18746308,580153.086553525 6570893.66628019,580152.265724221 6570894.14509728,580151.23968759 6570892.91385333,580150.931876603 6570891.81941424,580151.068681487 6570891.27219471,580151.342291254 6570891.16959105,580151.308090033 6570890.82757883,580150.829272939 6570890.82757883,580150.042644855 6570889.76734099,580149.734833867 6570889.66473733,580149.256016771 6570888.91231047,580149.016608224 6570888.60449948,580148.332583803 6570888.05727994,580148.22998014 6570887.74946894,580147.272345953 6570886.96284086,580147.580156941 6570888.6387007,580148.127376477 6570891.61420693,580148.400986246 6570893.08485943,580148.708797234 6570893.5294753,580150.521461949 6570894.69231682,580151.308090033 6570895.27373757,580151.821108348 6570895.75255467,580151.479096139 6570896.06036566,580150.692468054 6570895.64995101,580146.55412031 6570892.64024356,580146.348912984 6570893.15326187,580146.451516646 6570893.70048141,580146.075303216 6570894.07669484,580145.630687342 6570894.1792985,580145.049266586 6570895.06853024,580145.767492226 6570896.36817665,580145.083467805 6570897.56521939,580147.101339846 6570899.00167067,580147.648559383 6570899.78829874,580149.358620435 6570900.60912805,580149.803236308 6570901.29315248,580150.453059507 6570901.90877446,580151.376492475 6570902.83220741,580151.718504685 6570903.51623183,580151.992114454 6570904.23445749,580152.470931548 6570905.36309777,580154.899218241 6570907.65457959,580157.019693945 6570905.60250633,580159.550584301 6570904.16605504,580159.447980638 6570903.82404283,580159.618986743 6570903.34522574,580159.926797732 6570903.14001841,580160.303011163 6570903.24262208,580160.50821849 6570903.58463429,580163.17591373 6570902.45599398,580163.124748765 6570902.37077884)),((580151.821108348 6570890.95583342,580156.267267083 6570888.21973574,580155.788449988 6570887.39890643,580155.685846325 6570886.92008934,580155.309632893 6570886.74908323,580155.138626789 6570886.30446735,580154.625608473 6570886.03085759,580153.941584052 6570884.97061974,580153.120754747 6570884.01298555,580153.291760853 6570883.49996724,580153.633773064 6570882.67913792,580153.633773063 6570882.16611962,580153.291760853 6570881.8241074,580152.91554742 6570881.4820952,580152.915547421 6570880.83227199,580152.641937653 6570879.77203414,580149.050809444 6570882.50813183,580147.956370372 6570884.14979044,580147.990571592 6570884.97061974,580148.708797235 6570885.51783928,580149.392821655 6570886.13346126,580149.87163875 6570886.2018637,580151.171285149 6570887.5015101,580151.752705907 6570887.98032719,580152.402529106 6570888.08293086,580152.402529107 6570888.35654061,580152.128919338 6570888.56174795,580151.034480265 6570888.42494307,580150.384657066 6570888.9721626,580151.821108348 6570890.95583342)),((580140.688610904 6570890.71642487,580141.235830441 6570892.08447371,580141.817251198 6570892.59749203,580142.330269513 6570893.72613232,580142.774885385 6570894.13654698,580143.322104923 6570895.4703946,580144.382342775 6570894.37595551,580142.91169027 6570893.17891278,580142.603879282 6570892.56329081,580142.843287828 6570892.18707737,580143.493111027 6570892.46068715,580144.621751323 6570893.72613231,580145.339976963 6570893.72613232,580145.8871965 6570892.59749203,580146.366013594 6570889.58778458,580146.605422142 6570888.93796138,580146.742227026 6570887.84352231,580146.87903191 6570887.53571132,580146.195007489 6570886.714882,580145.100568417 6570886.2018637,580144.313940333 6570886.13346126,580144.279739112 6570886.27026614,580144.724354985 6570886.71488201,580144.245537891 6570887.26210154,580143.90352568 6570887.33050399,580143.390507365 6570887.22790033,580142.774885386 6570887.77511987,580142.398671955 6570888.39074184,580141.954056082 6570888.4933455,580141.646245092 6570889.14316871,580141.23583044 6570889.48518092,580140.688610904 6570890.71642487)),((580145.100568416 6570885.14162584,580144.89536109 6570885.55204049,580145.716190394 6570885.82565027,580146.22920871 6570885.89405271,580146.22920871 6570885.51783927,580145.818794058 6570885.31263195,580145.647787953 6570884.76541242,580145.476781848 6570884.76541242,580145.100568416 6570885.14162584)),((580145.989800163 6570883.94458311,580146.126605047 6570883.73937578,580145.476781848 6570882.91854648,580144.929562311 6570882.02931472,580144.621751323 6570882.3029245,580145.374178185 6570883.08955259,580145.989800163 6570883.94458311)),((580152.453830938 6570879.13931156,580152.111818727 6570878.7288969,580151.769806517 6570878.35268347,580151.735605296 6570877.87386638,580151.393593086 6570877.2582444,580151.154184538 6570876.74522608,580150.777971108 6570876.74522607,580150.641166223 6570877.05303706,580146.810629467 6570879.99434208,580146.981635573 6570880.26795185,580146.981635573 6570880.71256772,580146.639623363 6570880.91777505,580146.331812373 6570880.84937261,580146.22920871 6570880.50736039,580145.613586732 6570881.53339703,580146.160806268 6570882.01221412,580146.468617258 6570882.38842755,580146.91323313 6570882.42262878,580147.289446562 6570882.6278361,580147.494653888 6570882.28582389,580147.87086732 6570882.14901901,580148.418086856 6570882.32002511,580152.453830938 6570879.13931156)),((580134.446888066 6570874.26563756,580133.557656319 6570873.10279604,580132.634223351 6570873.78682046,580132.771028235 6570875.83889373,580133.181442888 6570876.24930837,580134.54949173 6570876.18090593,580135.91754057 6570875.94149739,580137.114583306 6570875.49688152,580137.867010169 6570875.15486931,580138.687839473 6570875.08646686,580139.508668778 6570874.71025343,580139.679674883 6570874.26563756,580139.371863894 6570873.58161314,580138.858845579 6570872.69238138,580138.790443136 6570872.24776551,580137.490796737 6570873.13699727,580135.951741791 6570874.40244244,580134.95990638 6570874.9838632,580134.446888066 6570875.12066809,580134.104875856 6570874.91546076,580134.070674635 6570874.53924733,580134.446888066 6570874.26563756)),((580140.397900525 6570873.41060703,580141.184528607 6570872.89758872,580141.834351808 6570872.76078382,580142.278967681 6570872.96599116,580147.409150836 6570869.71687516,580145.767492226 6570867.08338114,580144.87826048 6570867.93841167,580143.886425069 6570868.65663731,580144.673053153 6570870.29829592,580142.928790881 6570871.32433255,580141.971156692 6570869.7852776,580139.987485872 6570871.22172888,580139.679674884 6570872.31616795,580140.397900525 6570873.41060703)),((580144.467845827 6570866.70716771,580145.049266585 6570866.80977138,580145.596486121 6570866.43355794,580145.425480016 6570866.29675305,580145.459681237 6570865.71533229,580144.502047049 6570865.27071642,580144.467845827 6570866.70716771)),((580141.321333493 6570868.55403365,580140.876717619 6570868.45142997,580140.534705409 6570869.34066173,580139.987485873 6570870.1272898,580140.261095641 6570870.40089958,580141.013522504 6570869.68267393,580141.663345703 6570869.37486295,580141.321333493 6570868.55403365)),((580139.884882209 6570862.87663096,580141.218729829 6570864.4156859,580141.800150587 6570864.07367369,580142.176364018 6570864.17627735,580142.313168903 6570864.65509444,580142.107961577 6570865.23651521,580143.510211639 6570866.46775915,580143.510211638 6570865.98894207,580143.681217744 6570865.74953351,580143.578614081 6570863.52645415,580143.031394544 6570863.08183828,580142.620979892 6570862.29521019,580142.449973786 6570861.23497235,580139.884882209 6570862.87663096)),((580140.603107851 6570864.99710666,580139.029851684 6570863.45805171,580133.865467308 6570866.53616161,580134.378485625 6570867.15178358,580136.156949117 6570869.10125318,580136.25955278 6570870.19569226,580135.609729581 6570870.67450935,580134.173278298 6570871.46113744,580133.626058761 6570872.04255818,580134.446888066 6570872.96599116,580135.233516149 6570872.76078383,580136.293754001 6570873.27380215,580138.585235811 6570871.66634476,580138.722040694 6570871.084924,580139.166656568 6570870.64030813,580139.542869999 6570870.53770446,580140.671510292 6570867.93841167,580141.423937156 6570867.22018603,580142.005357913 6570866.91237504,580142.449973786 6570867.08338114,580142.655181113 6570867.39119212,580142.962992102 6570867.39119213,580143.407607976 6570867.97261288,580143.57861408 6570867.63060068,580143.476010417 6570867.0149787,580142.928790881 6570866.8439726,580141.56074204 6570865.61272863,580139.748077324 6570867.35699091,580139.132455348 6570867.76740555,580138.58523581 6570867.83580801,580138.106418716 6570867.45959457,580138.2432236 6570866.94657625,580138.893046799 6570866.57036283,580139.987485873 6570865.81793596,580140.603107851 6570864.99710666)),((580121.176814307 6570875.88164525,580123.570899779 6570878.13892584,580123.776107105 6570877.31809654,580123.741905884 6570876.01845014,580125.041552283 6570875.23182205,580125.520369377 6570875.3002245,580125.93078403 6570875.64223671,580126.204393797 6570875.53963304,580126.580607229 6570874.9924135,580127.196229208 6570874.88980984,580127.914454849 6570874.95821229,580127.709247523 6570874.0005781,580127.811851186 6570873.3507549,580128.085460953 6570872.63252926,580128.290668281 6570872.35891948,580127.333034092 6570871.43548652,580126.478003567 6570870.44365111,580125.349363272 6570871.33288286,580124.425930304 6570872.59832802,580122.921076579 6570874.03477932,580122.510661927 6570874.30838909,580122.134448495 6570874.61620008,580121.176814307 6570875.88164525)))",5,NØ,Anders Madsens Gate 1,SL1223,Dyrkningslag,52,Handel- og næringskonstruksjoner,Jordbruk,364.81,1,0,0,0,0,0,"1",900,1100,1104,Beta-418506,,,,"2015",NIKU,,,1020517,C60179 ,NIKU Oppdragsrapport 1/2016
"MULTIPOLYGON (((580130.760040253 6570868.41167383,580134.477933861 6570873.12100574,580137.700108322 6570870.84069766,580134.180502373 6570866.2800815,580130.760040253 6570868.41167383)))",6,NØ,Anders Madsens Gate 1,201037/SA15572,Hus 4 og Hus 6,31,Sivile konstruksjoner,Bygning,23.39,0,1,0,0,0,0,"2",1100,1150,1113,UBA-31474,,,,"2015",NIKU,,,1020517,C60179 ,NIKU Oppdragsrapport 1/2016
"MULTIPOLYGON (((580142.235559841 6570892.01545671,580144.324064045 6570889.80646188,580142.195396299 6570887.95893893,580140.227382722 6570890.00727958,580142.235559841 6570892.01545671)))",7,NØ,Anders Madsens Gate 1,"200505",Hus 2,31,Sivile konstruksjoner,Bygning,8.32,0,1,0,0,0,0,"2",1100,1150,1176,UBA-31477,,,,"2015",NIKU,,,1020517,C60179 ,NIKU Oppdragsrapport 1/2016
"MULTIPOLYGON (((580141.258925192 6570862.02808254,580137.345569469 6570865.60600777,580138.240050777 6570866.444584,580141.985691254 6570863.09027909,580141.258925192 6570862.02808254)))",8,NØ,Anders Madsens Gate 1,SA26060/26360,Hus 1,31,Sivile konstruksjoner,Bygning,6.45,1,0,0,0,0,0,"1",900,1100,,,,,,"2015",NIKU,,,1020517,C60179 ,NIKU Oppdragsrapport 1/2016
"MULTIPOLYGON (((580130.214749191 6570868.9569649,580133.089920248 6570872.32785511,580137.204389174 6570869.94840319,580134.279646202 6570866.23050959,580130.214749191 6570868.9569649)))",9,NØ,Anders Madsens Gate 1,"24066",Hus 6,31,Sivile konstruksjoner,Bygning,21.91,0,1,0,0,0,0,"3",1150,1250,,,,,,"2015",NIKU,,,1020517,C60179 ,NIKU Oppdragsrapport 1/2016
"MULTIPOLYGON (((580142.406740993 6570861.20994811,580140.228879803 6570863.17002319,580141.227066182 6570864.38599569,580141.789680322 6570864.09561419,580142.17080603 6570864.15006072,580142.315996776 6570864.62193065,580142.1163595 6570865.23899132,580143.531969273 6570866.45496382,580143.51382043 6570865.91049852,580143.695308862 6570865.72901009,580143.56826696 6570863.47855352,580142.406740993 6570861.20994811)))",10,NØ,Anders Madsens Gate 1,"23761",Hus 5,31,Sivile konstruksjoner,Bygning,8.53,0,1,0,0,0,0,"2",1100,1150,,,,,,"2015",NIKU,,,1020517,C60179 ,NIKU Oppdragsrapport 1/2016
"MULTIPOLYGON (((580142.518126748 6570861.79554006,580141.439577075 6570863.02816826,580142.055891174 6570863.5246435,580143.031721831 6570862.41185416,580142.518126748 6570861.79554006)))",11,NØ,Anders Madsens Gate 1,"18805",Hus 8,31,Sivile konstruksjoner,Bygning,1.23,0,1,1,1,0,0,"3",1150,1350,,,,,,"2015",NIKU,,,1020517,C60179 ,NIKU Oppdragsrapport 1/2016
